0	1000600	20
1	1000041	11
2	1001051	5
3	1001202	9
4	1001362	13
5	1001380	10
6	1001592	6
7	10016272	10
8	1001662	4
9	10019862	5
10	1002752	4
11	10028700	3
12	1003581	17
13	1003882	8
14	10041122	4
15	1004381	11
16	1004551	11
17	1004560	25
18	1005110	10
19	1005562	12
20	10056462	6
21	1006090	22
22	1006181	20
23	1007482	12
24	1007541	13
25	1007650	13
26	1007771	7
27	1007820	3
28	1007830	5
29	10079012	9
30	1007912	4
31	1008191	3
32	1008231	6
33	1008520	16
34	1008772	17
35	10090450	28
36	1009110	7
37	1009341	9
38	1009392	9
39	1009400	5
40	1009410	7
41	1009451	7
42	1010311	17
43	1010431	4
44	10105072	5
45	1010672	12
46	1010702	30
47	1010890	6
48	1010902	7
49	10109390	9
50	1011020	10
51	10111391	8
52	1011271	14
53	1011281	15
54	1011300	23
55	1011352	10
56	1011732	23
57	10120881	6
58	10122782	5
59	10125501	6
60	1012792	3
61	1013050	4
62	10135391	4
63	1013562	33
64	1013820	11
65	10139532	9
66	1014032	13
67	1014491	6
68	1014542	9
69	1014732	38
70	10148122	22
71	1014890	16
72	1015030	11
73	1015040	7
74	10150952	5
75	10151621	6
76	10151642	24
77	1015271	12
78	1015290	7
79	10154530	6
80	1015720	12
81	10159250	4
82	1016270	5
83	10168531	6
84	1016902	11
85	10169151	7
86	1017022	32
87	1017210	16
88	1017232	3
89	1017270	6
90	1017361	10
91	1017362	6
92	10175080	8
93	1017911	18
94	1018211	6
95	10183502	49
96	1018591	4
97	10193341	15
98	1019422	12
99	1019440	4
100	1019461	13
101	1019462	13
102	10195232	7
103	10198711	19
104	1020010	16
105	10200781	5
106	1020252	8
107	1020511	4
108	10208921	3
109	1021132	4
110	1021400	44
111	10218531	3
112	10218772	7
113	10219022	23
114	10220292	27
115	1022042	23
116	10220981	4
117	10224270	9
118	1022522	9
119	10225591	9
120	1023090	27
121	10231262	16
122	1023402	9
123	10236411	7
124	10245292	3
125	10260731	7
126	10278010	31
127	10297710	6
128	10301612	7
129	10303650	12
130	10326461	15
131	10341452	10
132	10370570	11
133	10394911	10
134	10431621	6
135	10433870	4
136	10436871	5
137	10443200	9
138	10443601	25
139	10456011	12
140	10464762	8
141	10464992	8
142	10469282	11
143	10470752	41
144	10483541	6
145	10483710	10
146	10483740	9
147	10490141	16
148	10495211	5
149	10502120	11
150	10502182	11
151	10502400	9
152	10506382	4
153	10517952	3
154	10528300	10
155	10552292	19
156	10552341	4
157	10574501	22
158	10580031	7
159	10583761	15
160	10592602	7
161	10594290	11
162	10596831	17
163	10597712	4
164	10623761	10
165	10640202	5
166	10642380	21
167	10655142	8
168	10661022	14
169	10668461	7
170	10669051	9
171	10682010	4
172	10706521	8
173	10716011	13
174	10732401	10
175	10732871	3
176	10745410	9
177	10747180	6
178	10755762	7
179	10758560	10
180	10772981	5
181	10773050	12
182	10773361	6
183	10773501	25
184	10781482	19
185	1114741	20
186	1116070	7
187	1116351	7
188	1116990	6
189	1117352	6
190	1118172	19
191	1118892	16
192	1118911	5
193	1120440	3
194	1121941	7
195	1122820	5
196	1122840	9
197	1123541	39
198	1124941	8
199	1128070	9
200	1129882	9
201	1130820	3
202	1132752	9
203	1133012	11
204	1133880	3
205	1134032	6
206	1135171	16
207	1138142	15
208	1138822	23
209	1139000	7
210	1139151	6
211	1141002	11
212	1141720	9
213	1143550	4
214	1148680	4
215	1148921	4
216	1150761	25
217	1151350	30
218	1152871	5
219	1153321	3
220	1154230	18
221	1154711	4
222	1154810	10
223	1156611	3
224	1156680	5
225	1157092	6
226	1157241	6
227	1158812	16
228	1160571	20
229	1160850	15
230	1161852	5
231	11918180	15
232	11919100	14
233	11921330	17
